name,longitude,latitude
c_ferruginea,-36.6964,-8.35778
c_ferruginea,-36.4344,-10.4056
c_ferruginea,-44.1961,-21.4686
c_ferruginea,-42.6872,-14.4925
c_ferruginea,-45.3433,-3.60833
c_ferruginea,-48.9072,-21.1858
c_ferruginea,-47.64,-22.72
c_ferruginea,-43.8981,-22.6292
c_ferruginea,-44.9419,-17.345
c_ferruginea,-46.996411,-23.395686
c_ferruginea,-47.42,-21.99
c_ferruginea,-44.8903,-19.6828
c_ferruginea,-36.705,-8.18639
c_ferruginea,-42.9086,-20.4164
c_ferruginea,-51.23,-30.0331
c_ferruginea,-47.52,-23.21
c_ferruginea,-47.47,-21.85
c_ferruginea,-39.0647,-16.4497
c_ferruginea,-63.9039,-8.76194
c_ferruginea,-46.3694,-14.0931
c_ferruginea,-50.89,-22.22
c_ferruginea,-34.8811,-8.05389
c_ferruginea,-47.81,-21.17
c_ferruginea,-42.6097,-22.7086
c_ferruginea,-47.56,-22.41
c_ferruginea,-43.2075,-22.9028
c_ferruginea,-43.8278,-22.0892
c_ferruginea,-38.35,-12.433333
c_ferruginea,-43.4153,-19.9594
c_ferruginea,-47.720969,-23.383744
c_ferruginea,-39.0247,-16.2781
c_ferruginea,-44.095,-22.1494
c_ferruginea,-40.553056,-19.9075
c_ferruginea,-44.0511,-12.9833
c_ferruginea,-39.601944,-7.216389
c_ferruginea,-37.2453,-9.37833
c_ferruginea,-43.7144,-19.1689
c_ferruginea,-44.2231,-18.2969
c_ferruginea,-46.56,-23.69
c_ferruginea,-43.3622,-19.8261
c_ferruginea,-46.0489,-19.3111
c_ferruginea,-46.473111,-20.483361
c_ferruginea,-43.0106,-21.54
c_ferruginea,-44.656667,-22.642778
c_ferruginea,-46.874401,-21.5511
c_ferruginea,-52.7442,-10.8044
c_ferruginea,-43.9375,-23.075
c_ferruginea,-35.0183,-8.00222
c_ferruginea,-46.943333,-23.850556
c_ferruginea,-45.31,-23.22
c_ferruginea,-47.99,-23.87
c_ferruginea,-46.63,-23.54
c_ferruginea,-40.750278,-19.033889
c_ferruginea,-48.080556,-23.523889
c_ferruginea,-47.1125,-23.523889
c_ferruginea,-46.9914,-20.9169
c_ferruginea,-35.5,-7.583333
c_ferruginea,-44.2467,-19.4658
c_ferruginea,-51.3148,-22.4778
c_ferruginea,-52.3,-22.6
c_ferruginea,-42.9656,-22.4122
c_ferruginea,-35.3183,-7.50528
c_ferruginea,-42.73,-17.2856
c_ferruginea,-39.3275,-14.273333
c_ferruginea,-40.945556,-3.836111
c_ferruginea,-45.0711,-23.4339
c_ferruginea,-48.2772,-18.9186
c_ferruginea,-53.325,-23.7664
c_ferruginea,-39.0753,-15.2933
c_ferruginea,-44.7306,-17.5983
c_ferruginea,-42.8819,-20.7539
c_ferruginea,-41.0922,-3.56222
c_ferruginea,-46.97,-23.03
c_ferruginea,-47.43,-23.54
c_ferruginea,-48.5364,-6.41111
c_ferruginea,-43.45,-19.083333
c_ferruginea,-44.95,-11.966667
c_ferruginea,-40.536944,-12.387778
c_ferruginea,-47.047278,-23.266833
c_ferruginea,-41.7353,-20.445833
c_ferruginea,-39.833333,-7.25
