gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2212332699	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS672330296	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	BR-TO-Pium-EA-IA-PE Cantão	Tocantins		18	e2e717bf-551a-4917-bdc9-4fa0f342c530	-9.406049	-50.013243							2018-11-01T00:00:00Z	1	11	2018	2487653	2487653	HUMAN_OBSERVATION	CLO	EBIRD	OBS672330296				CC0_1_0		obsr499416			2020-02-11T01:51:43.385Z		
2212263744	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS685809660	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	Bodoquena	Mato Grosso do Sul		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-20.535826	-56.713011							2018-12-14T00:00:00Z	14	12	2018	2487653	2487653	HUMAN_OBSERVATION	CLO	EBIRD	OBS685809660				CC0_1_0		obsr538107			2020-02-11T01:51:48.567Z		COORDINATE_ROUNDED
2212244776	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS669197015	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		PE	Los Amigos Biological Station (CICRA)	Madre de Dios		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-12.566292	-70.100841							2018-10-07T00:00:00Z	7	10	2018	2487653	2487653	HUMAN_OBSERVATION	CLO	EBIRD	OBS669197015				CC0_1_0		obsr122172			2020-02-11T01:51:43.627Z		COORDINATE_ROUNDED
2212242093	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS659438736	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		AR	PN Iguazú Área Cataratas	Misiones		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-25.683303	-54.455452							2018-09-19T00:00:00Z	19	9	2018	2487653	2487653	HUMAN_OBSERVATION	CLO	EBIRD	OBS659438736				CC0_1_0		obsr163746			2020-02-11T01:52:00.563Z		COORDINATE_ROUNDED
2212234073	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_PE:OBS685765066	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		PE	Lago Sandoval	Madre de Dios		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-12.606668	-69.039202							2018-12-14T00:00:00Z	14	12	2018	2487653	2487653	HUMAN_OBSERVATION	CLO	EBIRD_PE	OBS685765066				CC0_1_0		obsr455105			2020-02-11T01:55:29.002Z		COORDINATE_ROUNDED
2212201337	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_PE:OBS669124346	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		PE	PE (-12.873, -69.497)torre De Observacion Y Trochas	Madre de Dios		3	e2e717bf-551a-4917-bdc9-4fa0f342c530	-12.873327	-69.497418							2018-10-20T00:00:00Z	20	10	2018	2487653	2487653	HUMAN_OBSERVATION	CLO	EBIRD_PE	OBS669124346				CC0_1_0		obsr917489			2020-02-11T01:51:45.438Z		COORDINATE_ROUNDED
2212195281	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS679017659	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		PE	Tambopata River	Madre de Dios		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-12.902224	-69.51792							2018-10-19T00:00:00Z	19	10	2018	2487653	2487653	HUMAN_OBSERVATION	CLO	EBIRD	OBS679017659				CC0_1_0		obsr264913			2020-02-11T01:54:34.870Z		COORDINATE_ROUNDED
2212186179	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS669089836	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		PE	Chuncho Lodge	Madre de Dios		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-12.873429	-69.499207							2018-10-19T00:00:00Z	19	10	2018	2487653	2487653	HUMAN_OBSERVATION	CLO	EBIRD	OBS669089836				CC0_1_0		obsr264913			2020-02-11T01:55:19.788Z		COORDINATE_ROUNDED
2212168905	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS672153287	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		PE	Lago Sandoval	Madre de Dios			e2e717bf-551a-4917-bdc9-4fa0f342c530	-12.606668	-69.039202							2010-12-27T00:00:00Z	27	12	2010	2487653	2487653	HUMAN_OBSERVATION	CLO	EBIRD	OBS672153287				CC0_1_0		obsr334540			2020-02-11T01:51:38.126Z		COORDINATE_ROUNDED
2212145528	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_BRA:OBS672127871	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	Sede Porangai	Pará			e2e717bf-551a-4917-bdc9-4fa0f342c530	-6.604597	-49.360942							2018-10-12T00:00:00Z	12	10	2018	2487653	2487653	HUMAN_OBSERVATION	CLO	EBIRD_BRA	OBS672127871				CC0_1_0		obsr670042			2020-02-11T01:54:13.410Z		COORDINATE_ROUNDED
