gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1710777973	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS366705899	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Chapada do Araripe	Ceará		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-7.207077	-39.804613							2016-01-17T00:00:00Z	17	1	2016	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS366705899				CC0_1_0		obsr211929			2020-02-11T01:53:03.346Z		COORDINATE_ROUNDED
1710668865	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS366387187	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Chapada do Araripe	Ceará		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-7.207077	-39.804613							2016-01-16T00:00:00Z	16	1	2016	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS366387187				CC0_1_0		obsr211929			2020-02-11T01:53:30.950Z		COORDINATE_ROUNDED
1710149157	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS365964251	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Fazenda Haras Claro	Ceará		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-3.919696	-38.836376							2016-01-14T00:00:00Z	14	1	2016	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS365964251				CC0_1_0		obsr584995			2020-02-11T01:50:22.824Z		
1707236501	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS209936558	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Refugío Los Volcanes	Santa Cruz		4	e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.105188	-63.598351							2013-08-16T00:00:00Z	16	8	2013	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS209936558				CC0_1_0		obsr90467			2020-02-11T01:54:59.203Z		COORDINATE_ROUNDED
1434723181	0ead7539-70d6-4486-9a37-2c273413ec51	Br:MNRJ:Aves:MNA8512	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutatus		BR	Iramaia	Ba			4205110f-3f0f-40d8-bd0f-2fa71bc827b5													2485028	2485028	PRESERVED_SPECIMEN	Museu Nacional/UFRJ	Coleção de  do Museu Nacional (MN)	MNA8512				CC_BY_NC_4_0	Museu Nacional/UFRJ				2020-02-10T11:42:10.170Z		TAXON_MATCH_FUZZY
1434723086	0ead7539-70d6-4486-9a37-2c273413ec51	Br:MNRJ:Aves:MNA8500	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Presidente Kennedy	To			4205110f-3f0f-40d8-bd0f-2fa71bc827b5													2485028	2485028	PRESERVED_SPECIMEN	Museu Nacional/UFRJ	Coleção de  do Museu Nacional (MN)	MNA8500				CC_BY_NC_4_0	Museu Nacional/UFRJ				2020-02-10T11:42:10.150Z		
1411684355	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS412544204	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		AR	Reserva Nacional El Nogalar De Los Toldos	Salta			e2e717bf-551a-4917-bdc9-4fa0f342c530	-22.266667	-64.7							2009-05-11T00:00:00Z	11	5	2009	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS412544204				CC0_1_0		obsr430982			2020-02-11T01:50:25.131Z		COORDINATE_ROUNDED
1411542004	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS412202760	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		AR	Reserva Nacional El Nogalar De Los Toldos	Salta			e2e717bf-551a-4917-bdc9-4fa0f342c530	-22.266667	-64.7							2009-05-11T00:00:00Z	11	5	2009	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS412202760				CC0_1_0		obsr429380			2020-02-11T01:53:57.468Z		COORDINATE_ROUNDED
1411528749	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS412205602	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		AR	Reserva Nacional El Nogalar De Los Toldos	Salta			e2e717bf-551a-4917-bdc9-4fa0f342c530	-22.266667	-64.7							2009-05-11T00:00:00Z	11	5	2009	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS412205602				CC0_1_0		obsr429465			2020-02-11T01:53:51.898Z		COORDINATE_ROUNDED
1411495745	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS411738667	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Chapada dos Veadeiros--Fazenda dos Anões	Goiás		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-14.318602	-47.504159							2012-01-23T00:00:00Z	23	1	2012	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS411738667				CC0_1_0		obsr420253			2020-02-11T01:55:01.416Z		COORDINATE_ROUNDED
1411393314	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS410739501	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Laguna Volcán	Santa Cruz		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.120158	-63.64706							2001-05-29T00:00:00Z	29	5	2001	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS410739501				CC0_1_0		obsr132371			2020-02-11T01:53:56.483Z		COORDINATE_ROUNDED
1411103822	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS406022842	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Refugío Los Volcanes	Santa Cruz			e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.105188	-63.598351							2015-11-18T00:00:00Z	18	11	2015	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS406022842				CC0_1_0		obsr509607			2020-02-11T01:55:05.142Z		COORDINATE_ROUNDED
1411101241	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS406022727	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Refugío Los Volcanes	Santa Cruz			e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.105188	-63.598351							2015-11-19T00:00:00Z	19	11	2015	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS406022727				CC0_1_0		obsr509607			2020-02-11T01:50:24.462Z		COORDINATE_ROUNDED
1410923187	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS403502154	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Los Pinos	Santa Cruz		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.722227	-63.906387							2015-12-12T00:00:00Z	12	12	2015	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS403502154				CC0_1_0		obsr156275			2020-02-11T01:50:29.869Z		COORDINATE_ROUNDED
1410606726	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS399736004	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Laguna Volcán	Santa Cruz			e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.120158	-63.64706							2001-02-06T00:00:00Z	6	2	2001	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS399736004				CC0_1_0		obsr37316			2020-02-11T01:50:12.199Z		COORDINATE_ROUNDED
1410430317	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS395529081	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Crato -- Protected Caatinga area	Ceará		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-7.305488	-39.548964							2013-04-09T00:00:00Z	9	4	2013	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS395529081				CC0_1_0		obsr744171			2020-02-11T01:53:19.664Z		COORDINATE_ROUNDED
1409918315	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS388472268	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Samaipata	Santa Cruz			e2e717bf-551a-4917-bdc9-4fa0f342c530	-18.18305	-63.877242							1999-10-31T00:00:00Z	31	10	1999	2485028	2485028	HUMAN_OBSERVATION	CLO	EBIRD	OBS388472268				CC0_1_0		obsr351820			2020-02-11T01:54:08.129Z		COORDINATE_ROUNDED
