-38.94,-4.26
-38.94,-4.26
-38.94,-4.26
-38.94,-4.26
-38.94,-4.26
-40.89,-3.93
-41.15,-11.55
-41.15,-11.55
-40.90,-3.84
-40.90,-3.84
-40.90,-3.84
-40.90,-3.84
-40.90,-3.84
-37.05,-8.42
-37.05,-8.42
-35.45,-6.57
-35.45,-6.57
-35.45,-6.57
-35.45,-6.57
-42.48,-14.06
-39.52,-15.97
-39.52,-15.97
-39.52,-15.97
-40.59,-11.42
-37.15,-8.62
-37.15,-8.62
-40.52,-11.13
-40.52,-11.13
-39.51,-12.78
-39.51,-12.78
-41.15,-10.43
-41.57,-12.51
-41.57,-12.51
-41.57,-12.51
-36.42,-9.22
-40.90,-3.84
-42.69,-13.02
